"experiment_id","run_id","mode","step","year","month","rows_in","rows_out","bytes_in_mb","bytes_out_mb","wall_sec","shuffle_read_mb","shuffle_write_mb","spark_conf","partitions_in","partitions_out_planned","files_out","files_in","write_sec","merge_sec","tasks_total","stages","disk_spill_mb","memory_spill_mb","gc_time_ms","executor_run_time_ms","skew_factor","wal_bytes_mb","table_bytes_mb","index_bytes_mb","copy_sec_sum","copy_sec_max","analyze_sec","copy_throughput_mib_s","copy_throughput_rows_s","details","created_at"
E4_f1,manual__2025-11-03T11:29:31+01:00,optimized,bronze,2021,1,1369749,1369749,175.693,25.277,20.007995575999303,0.0,0.0,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",8,1,1,,,,11,4,0.0,0.0,534,21175,6.57974,,,,,,,,,"{""app_id"": ""local-1762165794985"", ""dataset"": ""m6nq-qud6"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 10:30:18.549
E4_f1,manual__2025-11-03T11:29:31+01:00,optimized,silver_prep,2021,1,1369749,1369749,25.277,115.265,50.643640995025635,0.001,0.001,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",7,1,1,,,,32,8,0.0,0.0,1634,46892,13.643607,,,,,,,,,"{""app_id"": ""local-1762165824263"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 10:31:19.550
E4_f1,manual__2025-11-03T11:29:31+01:00,optimized,silver_join,2021,1,1369749,1369749,115.285,119.947,27.77296018600464,0.046,0.031,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""disable_auto_broadcast"": false}",,,,,,,46,25,0.0,0.0,1030,27981,27.434616,,,,,,,,,"{""app_id"": ""local-1762165909503"", ""out_dir"": ""/opt/etl/data/silver_wide/s3/exp=E4_f1/trial=1/year=2021/month=1"", ""facts_dir"": ""/opt/etl/data/silver/s3/exp=E4_f1/trial=1/year=2021/month=1"", ""zones_path"": ""/opt/etl/data/ref/zones/zones.parquet"", ""dimdate_path"": ""/opt/etl/data/ref/dim_date/dim_date.parquet"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog"", ""vendors_path"": ""/opt/etl/data/ref/vendor/vendor.parquet"", ""payments_path"": ""/opt/etl/data/ref/payment_type/payment_type.parquet"", ""ratecodes_path"": ""/opt/etl/data/ref/ratecode/ratecode.parquet"", ""storeflag_path"": ""/opt/etl/data/ref/store_flag/store_flag.parquet""}",2025-11-03 10:32:20.473
E4_f1,manual__2025-11-03T11:29:31+01:00,optimized,export,2021,1,1369749,1369749,115.265,262.262,27.698278188705444,0.0,0.0,"{""writer"": ""single_csv"", ""measure_rows"": true, ""target_files_per_month"": 1}",8,1,1,,17.437470197677612,2.8777544498443604,11,4,0.0,0.0,425,19151,9.518093,,,,,,,,,"",2025-11-03 10:33:16.393
E4_f1,manual__2025-11-03T11:29:31+01:00,optimized,dwh_single,2021,1,1369749,1369749,262.262,,124.061,,,"{""loader"": ""single_copy""}",,,,,,,,,,,,,,850.162,345.797,97.492,,,,2.113971,11040.905369,"",2025-11-03 10:35:33.337
E4_f8,manual__2025-11-03T11:35:55+01:00,optimized,bronze,2021,1,1369749,1369749,175.693,34.034,28.085680240999864,117.405,234.809,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 8}",8,8,8,,,,34,6,216.735,699.995,8485,150761,1.721864,,,,,,,,,"{""app_id"": ""local-1762166184096"", ""dataset"": ""m6nq-qud6"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 10:36:55.594
E4_f8,manual__2025-11-03T11:35:55+01:00,optimized,silver_prep,2021,1,1369749,1369749,34.034,125.864,49.77500557899475,295.952,472.169,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 8}",8,8,8,,,,67,11,323.938,799.994,29416,305836,2.488216,,,,,,,,,"{""app_id"": ""local-1762166225595"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 10:38:02.975
E4_f8,manual__2025-11-03T11:35:55+01:00,optimized,silver_join,2021,1,1369749,1369749,125.884,131.821,23.05485987663269,0.046,0.031,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""disable_auto_broadcast"": false}",,,,,,,46,25,0.0,0.0,9204,99203,5.360322,,,,,,,,,"{""app_id"": ""local-1762166312633"", ""out_dir"": ""/opt/etl/data/silver_wide/s3/exp=E4_f8/trial=1/year=2021/month=1"", ""facts_dir"": ""/opt/etl/data/silver/s3/exp=E4_f8/trial=1/year=2021/month=1"", ""zones_path"": ""/opt/etl/data/ref/zones/zones.parquet"", ""dimdate_path"": ""/opt/etl/data/ref/dim_date/dim_date.parquet"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog"", ""vendors_path"": ""/opt/etl/data/ref/vendor/vendor.parquet"", ""payments_path"": ""/opt/etl/data/ref/payment_type/payment_type.parquet"", ""ratecodes_path"": ""/opt/etl/data/ref/ratecode/ratecode.parquet"", ""storeflag_path"": ""/opt/etl/data/ref/store_flag/store_flag.parquet""}",2025-11-03 10:39:03.686
E4_f8,manual__2025-11-03T11:35:55+01:00,optimized,export,2021,1,1369749,1369749,125.864,262.262,27.171335458755493,0.0,0.0,"{""writer"": ""single_csv"", ""measure_rows"": true, ""target_files_per_month"": 1}",8,1,1,,16.949347257614136,2.707095146179199,11,4,0.0,0.0,397,19746,8.987846,,,,,,,,,"",2025-11-03 10:39:59.138
E4_f8,manual__2025-11-03T11:35:55+01:00,optimized,dwh_single,2021,1,1369749,1369749,262.262,,112.348,,,"{""loader"": ""single_copy""}",,,,,,,,,,,,,,894.462,345.797,105.281,,,,2.334365,12191.98642,"",2025-11-03 10:42:00.999
