"experiment_id","run_id","mode","step","year","month","rows_in","rows_out","bytes_in_mb","bytes_out_mb","wall_sec","shuffle_read_mb","shuffle_write_mb","spark_conf","partitions_in","partitions_out_planned","files_out","files_in","write_sec","merge_sec","tasks_total","stages","disk_spill_mb","memory_spill_mb","gc_time_ms","executor_run_time_ms","skew_factor","wal_bytes_mb","table_bytes_mb","index_bytes_mb","copy_sec_sum","copy_sec_max","analyze_sec","copy_throughput_mib_s","copy_throughput_rows_s","details","created_at"
E3_sp32_mpb128,manual__2025-11-03T10:19:29+01:00,optimized,bronze,2021,1,1369749,1369749,175.693,25.277,20.499883164000494,0.0,0.0,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 32, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",8,1,1,,,,11,4,0.0,0.0,657,21729,6.496525,,,,,,,,,"{""app_id"": ""local-1762161594282"", ""dataset"": ""m6nq-qud6"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 09:20:19.594
E3_sp32_mpb128,manual__2025-11-03T10:19:29+01:00,optimized,silver_prep,2021,1,1369749,1369749,25.277,115.265,55.29145550727844,0.001,0.001,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 32, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",7,1,1,,,,32,8,0.0,0.0,1683,51104,13.973701,,,,,,,,,"{""app_id"": ""local-1762161626288"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 09:21:28.574
E3_sp32_mpb128,manual__2025-11-03T10:19:29+01:00,optimized,silver_join,2021,1,1369749,1369749,115.285,119.947,30.577821254730225,0.038,0.025,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 32, ""max_partition_bytes"": 134217728, ""disable_auto_broadcast"": false}",,,,,,,46,25,0.0,0.0,1355,28687,28.306829,,,,,,,,,"{""app_id"": ""local-1762161726088"", ""out_dir"": ""/opt/etl/data/silver_wide/s3/exp=E3_sp32_mpb128/trial=1/year=2021/month=1"", ""facts_dir"": ""/opt/etl/data/silver/s3/exp=E3_sp32_mpb128/trial=1/year=2021/month=1"", ""zones_path"": ""/opt/etl/data/ref/zones/zones.parquet"", ""dimdate_path"": ""/opt/etl/data/ref/dim_date/dim_date.parquet"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog"", ""vendors_path"": ""/opt/etl/data/ref/vendor/vendor.parquet"", ""payments_path"": ""/opt/etl/data/ref/payment_type/payment_type.parquet"", ""ratecodes_path"": ""/opt/etl/data/ref/ratecode/ratecode.parquet"", ""storeflag_path"": ""/opt/etl/data/ref/store_flag/store_flag.parquet""}",2025-11-03 09:22:40.682
E3_sp32_mpb128,manual__2025-11-03T10:19:29+01:00,optimized,export,2021,1,1369749,1369749,115.265,274.019,26.71453547477722,0.0,0.0,"{""writer"": ""single_csv"", ""measure_rows"": true, ""target_files_per_month"": 1}",8,1,1,,16.750882625579834,2.3552048206329346,11,4,0.0,0.0,323,18310,9.547351,,,,,,,,,"",2025-11-03 09:23:40.711
E3_sp32_mpb128,manual__2025-11-03T10:19:29+01:00,optimized,dwh_single,2021,1,1369749,1369749,274.019,,112.318,,,"{""loader"": ""single_copy""}",,,,,,,,,,,,,,871.293,357.305,97.555,,,,2.439681,12195.324106,"",2025-11-03 09:25:51.576
E3_sp32_mpb256,manual__2025-11-03T10:26:11+01:00,optimized,bronze,2021,1,1369749,1369749,175.693,25.277,20.49808583199956,0.0,0.0,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 32, ""max_partition_bytes"": 268435456, ""target_files_per_month"": 1}",8,1,1,,,,11,4,0.0,0.0,729,20667,6.779794,,,,,,,,,"{""app_id"": ""local-1762161996595"", ""dataset"": ""m6nq-qud6"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 09:27:02.347
E3_sp32_mpb256,manual__2025-11-03T10:26:11+01:00,optimized,silver_prep,2021,1,1369749,1369749,25.277,115.265,54.369633436203,0.001,0.001,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 32, ""max_partition_bytes"": 268435456, ""target_files_per_month"": 1}",7,1,1,,,,32,8,0.0,0.0,1644,49505,13.009433,,,,,,,,,"{""app_id"": ""local-1762162028443"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 09:28:07.216
E3_sp32_mpb256,manual__2025-11-03T10:26:11+01:00,optimized,silver_join,2021,1,1369749,1369749,115.285,119.947,31.577152729034424,0.038,0.025,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 32, ""max_partition_bytes"": 268435456, ""disable_auto_broadcast"": false}",,,,,,,46,25,0.0,0.0,1210,32113,26.83393,,,,,,,,,"{""app_id"": ""local-1762162121215"", ""out_dir"": ""/opt/etl/data/silver_wide/s3/exp=E3_sp32_mpb256/trial=1/year=2021/month=1"", ""facts_dir"": ""/opt/etl/data/silver/s3/exp=E3_sp32_mpb256/trial=1/year=2021/month=1"", ""zones_path"": ""/opt/etl/data/ref/zones/zones.parquet"", ""dimdate_path"": ""/opt/etl/data/ref/dim_date/dim_date.parquet"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog"", ""vendors_path"": ""/opt/etl/data/ref/vendor/vendor.parquet"", ""payments_path"": ""/opt/etl/data/ref/payment_type/payment_type.parquet"", ""ratecodes_path"": ""/opt/etl/data/ref/ratecode/ratecode.parquet"", ""storeflag_path"": ""/opt/etl/data/ref/store_flag/store_flag.parquet""}",2025-11-03 09:29:16.455
E3_sp32_mpb256,manual__2025-11-03T10:26:11+01:00,optimized,export,2021,1,1369749,1369749,115.265,274.019,27.75807785987854,0.0,0.0,"{""writer"": ""single_csv"", ""measure_rows"": true, ""target_files_per_month"": 1}",8,1,1,,17.357007265090942,2.689580202102661,11,4,0.0,0.0,691,19466,9.279308,,,,,,,,,"",2025-11-03 09:30:14.283
E3_sp32_mpb256,manual__2025-11-03T10:26:11+01:00,optimized,dwh_single,2021,1,1369749,1369749,274.019,,107.606,,,"{""loader"": ""single_copy""}",,,,,,,,,,,,,,871.342,357.305,97.555,,,,2.546504,12729.306482,"",2025-11-03 09:32:14.942
E3_sp128_mpb128,manual__2025-11-03T10:32:46+01:00,optimized,bronze,2021,1,1369749,1369749,175.693,25.277,21.258272450999357,0.0,0.0,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 128, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",8,1,1,,,,11,4,0.0,0.0,578,22047,6.482152,,,,,,,,,"{""app_id"": ""local-1762162390806"", ""dataset"": ""m6nq-qud6"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 09:33:35.132
E3_sp128_mpb128,manual__2025-11-03T10:32:46+01:00,optimized,silver_prep,2021,1,1369749,1369749,25.277,115.265,51.35621452331543,0.001,0.001,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 128, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",7,1,1,,,,32,8,0.0,0.0,1665,47778,14.139395,,,,,,,,,"{""app_id"": ""local-1762162421318"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 09:34:35.924
E3_sp128_mpb128,manual__2025-11-03T10:32:46+01:00,optimized,silver_join,2021,1,1369749,1369749,115.285,119.947,29.92110562324524,0.057,0.039,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 128, ""max_partition_bytes"": 134217728, ""disable_auto_broadcast"": false}",,,,,,,46,25,0.0,0.0,1057,30108,29.50093,,,,,,,,,"{""app_id"": ""local-1762162510780"", ""out_dir"": ""/opt/etl/data/silver_wide/s3/exp=E3_sp128_mpb128/trial=1/year=2021/month=1"", ""facts_dir"": ""/opt/etl/data/silver/s3/exp=E3_sp128_mpb128/trial=1/year=2021/month=1"", ""zones_path"": ""/opt/etl/data/ref/zones/zones.parquet"", ""dimdate_path"": ""/opt/etl/data/ref/dim_date/dim_date.parquet"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog"", ""vendors_path"": ""/opt/etl/data/ref/vendor/vendor.parquet"", ""payments_path"": ""/opt/etl/data/ref/payment_type/payment_type.parquet"", ""ratecodes_path"": ""/opt/etl/data/ref/ratecode/ratecode.parquet"", ""storeflag_path"": ""/opt/etl/data/ref/store_flag/store_flag.parquet""}",2025-11-03 09:35:46.371
E3_sp128_mpb128,manual__2025-11-03T10:32:46+01:00,optimized,export,2021,1,1369749,1369749,115.265,275.325,27.084541082382202,0.0,0.0,"{""writer"": ""single_csv"", ""measure_rows"": true, ""target_files_per_month"": 1}",8,1,1,,17.432326078414917,2.4552652835845947,11,4,0.0,0.0,513,18966,9.532057,,,,,,,,,"",2025-11-03 09:36:44.480
