"experiment_id","run_id","mode","step","year","month","rows_in","rows_out","bytes_in_mb","bytes_out_mb","wall_sec","shuffle_read_mb","shuffle_write_mb","spark_conf","partitions_in","partitions_out_planned","files_out","files_in","write_sec","merge_sec","tasks_total","stages","disk_spill_mb","memory_spill_mb","gc_time_ms","executor_run_time_ms","skew_factor","wal_bytes_mb","table_bytes_mb","index_bytes_mb","copy_sec_sum","copy_sec_max","analyze_sec","copy_throughput_mib_s","copy_throughput_rows_s","details","created_at"
E5L_scsv_scopy,manual__2025-11-03T12:07:02+01:00,optimized,bronze,2021,1,1369749,1369749,175.693,25.277,22.291045912999834,0.0,0.0,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",8,1,1,,,,11,4,0.0,0.0,505,23317,6.951838,,,,,,,,,"{""app_id"": ""local-1762168055508"", ""dataset"": ""m6nq-qud6"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 11:08:01.033
E5L_scsv_scopy,manual__2025-11-03T12:07:02+01:00,optimized,silver_prep,2021,1,1369749,1369749,25.277,115.265,52.538318157196045,0.001,0.001,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",7,1,1,,,,32,8,0.0,0.0,1589,48277,13.260807,,,,,,,,,"{""app_id"": ""local-1762168088056"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 11:09:03.742
E5L_scsv_scopy,manual__2025-11-03T12:07:02+01:00,optimized,silver_join,2021,1,1369749,1369749,115.285,119.947,26.27725052833557,0.046,0.031,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""disable_auto_broadcast"": false}",,,,,,,46,25,0.0,0.0,952,25747,28.115975,,,,,,,,,"{""app_id"": ""local-1762168176065"", ""out_dir"": ""/opt/etl/data/silver_wide/s3/exp=E5L_scsv_scopy/trial=1/year=2021/month=1"", ""facts_dir"": ""/opt/etl/data/silver/s3/exp=E5L_scsv_scopy/trial=1/year=2021/month=1"", ""zones_path"": ""/opt/etl/data/ref/zones/zones.parquet"", ""dimdate_path"": ""/opt/etl/data/ref/dim_date/dim_date.parquet"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog"", ""vendors_path"": ""/opt/etl/data/ref/vendor/vendor.parquet"", ""payments_path"": ""/opt/etl/data/ref/payment_type/payment_type.parquet"", ""ratecodes_path"": ""/opt/etl/data/ref/ratecode/ratecode.parquet"", ""storeflag_path"": ""/opt/etl/data/ref/store_flag/store_flag.parquet""}",2025-11-03 11:10:07.786
E5L_scsv_scopy,manual__2025-11-03T12:07:02+01:00,optimized,export,2021,1,1369749,1369749,115.265,274.019,26.358416080474854,0.0,0.0,"{""writer"": ""single_csv"", ""measure_rows"": true, ""target_files_per_month"": 1}",8,1,1,,16.640647649765015,2.6575875282287598,11,4,0.0,0.0,297,18237,9.595822,,,,,,,,,"",2025-11-03 11:11:08.869
E5L_scsv_scopy,manual__2025-11-03T12:07:02+01:00,optimized,dwh_single,2021,1,1369749,1369749,274.019,,118.927,,,"{""loader"": ""single_copy""}",,,,,,,,,,,,,,871.279,357.305,97.555,,,,2.304087,11517.523829,"",2025-11-03 11:13:21.371
E5L_pparts_pcopy,manual__2025-11-03T12:21:22+01:00,optimized,bronze,2021,1,1369749,1369749,175.693,34.034,27.10384841100131,117.405,234.809,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 8}",8,8,8,,,,34,6,218.257,705.995,6375,120506,1.392097,,,,,,,,,"{""app_id"": ""local-1762168916666"", ""dataset"": ""m6nq-qud6"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 11:22:31.262
E5L_pparts_pcopy,manual__2025-11-03T12:21:22+01:00,optimized,silver_prep,2021,1,1369749,1369749,34.034,125.864,54.57066011428833,295.952,472.169,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 8}",8,8,8,,,,67,11,323.938,799.994,33107,335187,2.63293,,,,,,,,,"{""app_id"": ""local-1762168960519"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 11:23:39.295
E5L_pparts_pcopy,manual__2025-11-03T12:21:22+01:00,optimized,silver_join,2021,1,1369749,1369749,125.884,131.821,31.493114233016968,0.046,0.031,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""disable_auto_broadcast"": false}",,,,,,,46,25,0.0,0.0,12367,136740,5.248925,,,,,,,,,"{""app_id"": ""local-1762169057911"", ""out_dir"": ""/opt/etl/data/silver_wide/s3/exp=E5L_pparts_pcopy/trial=1/year=2021/month=1"", ""facts_dir"": ""/opt/etl/data/silver/s3/exp=E5L_pparts_pcopy/trial=1/year=2021/month=1"", ""zones_path"": ""/opt/etl/data/ref/zones/zones.parquet"", ""dimdate_path"": ""/opt/etl/data/ref/dim_date/dim_date.parquet"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog"", ""vendors_path"": ""/opt/etl/data/ref/vendor/vendor.parquet"", ""payments_path"": ""/opt/etl/data/ref/payment_type/payment_type.parquet"", ""ratecodes_path"": ""/opt/etl/data/ref/ratecode/ratecode.parquet"", ""storeflag_path"": ""/opt/etl/data/ref/store_flag/store_flag.parquet""}",2025-11-03 11:24:56.415
E5L_pparts_pcopy,manual__2025-11-03T12:21:22+01:00,optimized,export,2021,1,1369749,1369749,125.864,276.633,45.36088991165161,189.74,379.479,"{""writer"": ""parallel_parts"", ""measure_rows"": true, ""parts_subdir"": ""parts"", ""target_files_per_month"": 8}",8,8,8,,18.095478057861328,0.0,34,6,361.269,799.994,15078,239500,2.126597,,,,,,,,,"",2025-11-03 11:26:17.742
E5L_pparts_pcopy,manual__2025-11-03T12:21:22+01:00,optimized,dwh_parallel,2021,1,1369749,1369749,276.633,,118.377,,,"{""dwh_parallel"": {""workers"": 4, ""analyze_after"": true, ""sync_commit_off"": true, ""staging_unlogged"": true}}",,,,8,,,,,,,,,,992.546,369.125,102.906,16.819,2.186,0.399,2.336881,11571.066376,"{""copy_times_sec"": [1.9737257957458496, 2.064340591430664, 2.0641708374023438, 2.0764267444610596, 2.157914876937866, 2.13700795173645, 2.1594550609588623, 2.185929536819458]}",2025-11-03 11:28:34.169
