date_id,date,year,quarter,month,day,iso_week,iso_dow,is_weekend,is_month_start,is_month_end
20200415,2020-04-15,2020,2,4,15,16,3,False,False,False
20200416,2020-04-16,2020,2,4,16,16,4,False,False,False
20200417,2020-04-17,2020,2,4,17,16,5,False,False,False
20200418,2020-04-18,2020,2,4,18,16,6,True,False,False
20200419,2020-04-19,2020,2,4,19,16,7,True,False,False
20200420,2020-04-20,2020,2,4,20,17,1,False,False,False
20200421,2020-04-21,2020,2,4,21,17,2,False,False,False
20200422,2020-04-22,2020,2,4,22,17,3,False,False,False
20200423,2020-04-23,2020,2,4,23,17,4,False,False,False
20200424,2020-04-24,2020,2,4,24,17,5,False,False,False
20200425,2020-04-25,2020,2,4,25,17,6,True,False,False
20200426,2020-04-26,2020,2,4,26,17,7,True,False,False
20200427,2020-04-27,2020,2,4,27,18,1,False,False,False
20200428,2020-04-28,2020,2,4,28,18,2,False,False,False
20200429,2020-04-29,2020,2,4,29,18,3,False,False,False
20200430,2020-04-30,2020,2,4,30,18,4,False,False,True
20200501,2020-05-01,2020,2,5,1,18,5,False,True,False
20200502,2020-05-02,2020,2,5,2,18,6,True,False,False
20200503,2020-05-03,2020,2,5,3,18,7,True,False,False
20200504,2020-05-04,2020,2,5,4,19,1,False,False,False
20200505,2020-05-05,2020,2,5,5,19,2,False,False,False
20200506,2020-05-06,2020,2,5,6,19,3,False,False,False
20200507,2020-05-07,2020,2,5,7,19,4,False,False,False
20200508,2020-05-08,2020,2,5,8,19,5,False,False,False
20200509,2020-05-09,2020,2,5,9,19,6,True,False,False
20200510,2020-05-10,2020,2,5,10,19,7,True,False,False
20200511,2020-05-11,2020,2,5,11,20,1,False,False,False
20200512,2020-05-12,2020,2,5,12,20,2,False,False,False
20200513,2020-05-13,2020,2,5,13,20,3,False,False,False
20200514,2020-05-14,2020,2,5,14,20,4,False,False,False
20200515,2020-05-15,2020,2,5,15,20,5,False,False,False
20200516,2020-05-16,2020,2,5,16,20,6,True,False,False
20200517,2020-05-17,2020,2,5,17,20,7,True,False,False
20200518,2020-05-18,2020,2,5,18,21,1,False,False,False
20200519,2020-05-19,2020,2,5,19,21,2,False,False,False
20200520,2020-05-20,2020,2,5,20,21,3,False,False,False
20200521,2020-05-21,2020,2,5,21,21,4,False,False,False
20200522,2020-05-22,2020,2,5,22,21,5,False,False,False
20200523,2020-05-23,2020,2,5,23,21,6,True,False,False
20200524,2020-05-24,2020,2,5,24,21,7,True,False,False
20200525,2020-05-25,2020,2,5,25,22,1,False,False,False
20200526,2020-05-26,2020,2,5,26,22,2,False,False,False
20200527,2020-05-27,2020,2,5,27,22,3,False,False,False
20200528,2020-05-28,2020,2,5,28,22,4,False,False,False
20200529,2020-05-29,2020,2,5,29,22,5,False,False,False
20200530,2020-05-30,2020,2,5,30,22,6,True,False,False
20200531,2020-05-31,2020,2,5,31,22,7,True,False,True
20200601,2020-06-01,2020,2,6,1,23,1,False,True,False
20200602,2020-06-02,2020,2,6,2,23,2,False,False,False
20200603,2020-06-03,2020,2,6,3,23,3,False,False,False
20200604,2020-06-04,2020,2,6,4,23,4,False,False,False
20200605,2020-06-05,2020,2,6,5,23,5,False,False,False
20200606,2020-06-06,2020,2,6,6,23,6,True,False,False
20200607,2020-06-07,2020,2,6,7,23,7,True,False,False
20200608,2020-06-08,2020,2,6,8,24,1,False,False,False
20200609,2020-06-09,2020,2,6,9,24,2,False,False,False
20200610,2020-06-10,2020,2,6,10,24,3,False,False,False
20200611,2020-06-11,2020,2,6,11,24,4,False,False,False
20200612,2020-06-12,2020,2,6,12,24,5,False,False,False
20200613,2020-06-13,2020,2,6,13,24,6,True,False,False
20200614,2020-06-14,2020,2,6,14,24,7,True,False,False
20200615,2020-06-15,2020,2,6,15,25,1,False,False,False
20200616,2020-06-16,2020,2,6,16,25,2,False,False,False
20200617,2020-06-17,2020,2,6,17,25,3,False,False,False
20200618,2020-06-18,2020,2,6,18,25,4,False,False,False
20200619,2020-06-19,2020,2,6,19,25,5,False,False,False
20200620,2020-06-20,2020,2,6,20,25,6,True,False,False
20200621,2020-06-21,2020,2,6,21,25,7,True,False,False
20200622,2020-06-22,2020,2,6,22,26,1,False,False,False
20200623,2020-06-23,2020,2,6,23,26,2,False,False,False
20200624,2020-06-24,2020,2,6,24,26,3,False,False,False
20200625,2020-06-25,2020,2,6,25,26,4,False,False,False
20200626,2020-06-26,2020,2,6,26,26,5,False,False,False
20200627,2020-06-27,2020,2,6,27,26,6,True,False,False
20200628,2020-06-28,2020,2,6,28,26,7,True,False,False
20200629,2020-06-29,2020,2,6,29,27,1,False,False,False
20200630,2020-06-30,2020,2,6,30,27,2,False,False,True
20200701,2020-07-01,2020,3,7,1,27,3,False,True,False
20200702,2020-07-02,2020,3,7,2,27,4,False,False,False
20200703,2020-07-03,2020,3,7,3,27,5,False,False,False
20200704,2020-07-04,2020,3,7,4,27,6,True,False,False
20200705,2020-07-05,2020,3,7,5,27,7,True,False,False
20200706,2020-07-06,2020,3,7,6,28,1,False,False,False
20200707,2020-07-07,2020,3,7,7,28,2,False,False,False
20200708,2020-07-08,2020,3,7,8,28,3,False,False,False
20200709,2020-07-09,2020,3,7,9,28,4,False,False,False
20200710,2020-07-10,2020,3,7,10,28,5,False,False,False
20200711,2020-07-11,2020,3,7,11,28,6,True,False,False
20200712,2020-07-12,2020,3,7,12,28,7,True,False,False
20200713,2020-07-13,2020,3,7,13,29,1,False,False,False
20200714,2020-07-14,2020,3,7,14,29,2,False,False,False
20200715,2020-07-15,2020,3,7,15,29,3,False,False,False
20200716,2020-07-16,2020,3,7,16,29,4,False,False,False
20200717,2020-07-17,2020,3,7,17,29,5,False,False,False
20200718,2020-07-18,2020,3,7,18,29,6,True,False,False
20200719,2020-07-19,2020,3,7,19,29,7,True,False,False
20200720,2020-07-20,2020,3,7,20,30,1,False,False,False
20200721,2020-07-21,2020,3,7,21,30,2,False,False,False
20200722,2020-07-22,2020,3,7,22,30,3,False,False,False
20200723,2020-07-23,2020,3,7,23,30,4,False,False,False
20200724,2020-07-24,2020,3,7,24,30,5,False,False,False
20200725,2020-07-25,2020,3,7,25,30,6,True,False,False
20200726,2020-07-26,2020,3,7,26,30,7,True,False,False
20200727,2020-07-27,2020,3,7,27,31,1,False,False,False
20200728,2020-07-28,2020,3,7,28,31,2,False,False,False
20200729,2020-07-29,2020,3,7,29,31,3,False,False,False
20200730,2020-07-30,2020,3,7,30,31,4,False,False,False
20200731,2020-07-31,2020,3,7,31,31,5,False,False,True
20200801,2020-08-01,2020,3,8,1,31,6,True,True,False
20200802,2020-08-02,2020,3,8,2,31,7,True,False,False
20200803,2020-08-03,2020,3,8,3,32,1,False,False,False
20200804,2020-08-04,2020,3,8,4,32,2,False,False,False
20200805,2020-08-05,2020,3,8,5,32,3,False,False,False
20200806,2020-08-06,2020,3,8,6,32,4,False,False,False
20200807,2020-08-07,2020,3,8,7,32,5,False,False,False
20200808,2020-08-08,2020,3,8,8,32,6,True,False,False
20200809,2020-08-09,2020,3,8,9,32,7,True,False,False
20200810,2020-08-10,2020,3,8,10,33,1,False,False,False
20200811,2020-08-11,2020,3,8,11,33,2,False,False,False
20200812,2020-08-12,2020,3,8,12,33,3,False,False,False
20200813,2020-08-13,2020,3,8,13,33,4,False,False,False
20200814,2020-08-14,2020,3,8,14,33,5,False,False,False
20200815,2020-08-15,2020,3,8,15,33,6,True,False,False
20200816,2020-08-16,2020,3,8,16,33,7,True,False,False
20200817,2020-08-17,2020,3,8,17,34,1,False,False,False
20200818,2020-08-18,2020,3,8,18,34,2,False,False,False
20200819,2020-08-19,2020,3,8,19,34,3,False,False,False
20200820,2020-08-20,2020,3,8,20,34,4,False,False,False
20200821,2020-08-21,2020,3,8,21,34,5,False,False,False
20200822,2020-08-22,2020,3,8,22,34,6,True,False,False
20200823,2020-08-23,2020,3,8,23,34,7,True,False,False
20200824,2020-08-24,2020,3,8,24,35,1,False,False,False
20200825,2020-08-25,2020,3,8,25,35,2,False,False,False
20200826,2020-08-26,2020,3,8,26,35,3,False,False,False
20200827,2020-08-27,2020,3,8,27,35,4,False,False,False
20200828,2020-08-28,2020,3,8,28,35,5,False,False,False
